"trees_ha","stems_ha","snags_ha","tree_mean_ht","tree_dom_ht","tree_max_ht","snag_mean_ht","snag_dom_ht","snag_max_ht","bm_Mg_ha","tree_avg_bm_kg","Plot_code","Plot_UAS"
3216,3764,80,2.48646629353234,3.26955,4.6598,7.54728,15.99234,18.2967,6.10233572816258,1.89749245278687,"IronMtn_Derby_1_1_long_1","IronMtn_Derby_1_1_long_1_rgb_hh"
1648,2784,124,2.34715479115479,3.1822,4.611,2.11154838709677,2.308,8.713,2.7425728217983,1.66418253749897,"IronMtn_Derby_1_1_long_1","IronMtn_Derby_1_1_long_1_rgnir_hh_1gcps_withgps"
1828,3268,96,2.16458114035088,2.8505,3.766,1.96775,2.8497,5.607,2.467691008047,1.34994037639333,"IronMtn_Derby_1_1_long_1","IronMtn_Derby_1_1_long_1_rgnir_hh_5gcps_withgps"
1876,3292,76,2.15409615384615,2.8439,4.002,1.94310526315789,2.1536,5.894,2.49486797347814,1.32988697946596,"IronMtn_Derby_1_1_long_1","IronMtn_Derby_1_1_long_1_rgnir_hh_8gcps_nogps"
1876,3320,48,2.12666666666667,2.8011,3.545,2.24258333333333,4.0251,6.116,2.42746171365868,1.29395613734471,"IronMtn_Derby_1_1_long_1","IronMtn_Derby_1_1_long_1_rgnir_hh_8gcps_withgps"
1964,3096,56,2.13426734693878,2.784,3.691,2.08114285714286,3.6695,4.275,2.54548942229385,1.2960740439378,"IronMtn_Derby_1_1_long_1","IronMtn_Derby_1_1_long_1_rgnir_hh_8gcps_withgps_nadironly"
1812,3048,108,2.14152433628319,2.8271,3.961,1.96207407407407,2.5284,6.391,2.38252537179554,1.31485947670835,"IronMtn_Derby_1_1_long_1","IronMtn_Derby_1_1_long_1_rgnir_hh_nogcps"
5052,5592,156,2.13277276326207,2.7536,4.67,8.10541025641026,13.2388,18.106,6.57076462676527,1.30062641068196,"IronMtn_Derby_1_5_long_2","IronMtn_Derby_1_5_long_2_rgb_hh"
1412,4508,120,1.97374928774929,2.53,3.937,1.96373333333333,2.0986,6.503,1.51125485967154,1.07029380996568,"IronMtn_Derby_1_5_long_2","IronMtn_Derby_1_5_long_2_rgnir_hh_1gcps_withgps"
1648,4952,96,1.95418248175182,2.61,3.284,1.90395833333333,2.024,5.012,1.73489695623137,1.05272873557728,"IronMtn_Derby_1_5_long_2","IronMtn_Derby_1_5_long_2_rgnir_hh_5gcps_withgps"
1728,5108,28,1.94385846867749,2.606,3.881,2.11085714285714,3.013,4.804,1.80906275576465,1.04691131699343,"IronMtn_Derby_1_5_long_2","IronMtn_Derby_1_5_long_2_rgnir_hh_8gcps_nogps"
1552,5016,68,1.96075,2.5611,3.591,1.78511764705882,2.0352,4.398,1.64231312397601,1.05819144586083,"IronMtn_Derby_1_5_long_2","IronMtn_Derby_1_5_long_2_rgnir_hh_8gcps_withgps"
1776,4708,132,1.9458374717833,2.5334,3.524,1.65021212121212,1.943,2.841,1.82992545921728,1.03036343424397,"IronMtn_Derby_1_5_long_2","IronMtn_Derby_1_5_long_2_rgnir_hh_8gcps_withgps_nadironly"
1500,4744,80,1.954144,2.556,3.812,2.0941,2.8533,6.232,1.58782748796745,1.05855165864497,"IronMtn_Derby_1_5_long_2","IronMtn_Derby_1_5_long_2_rgnir_hh_nogcps"
188,476,40,1.89237659574468,2.37044,3.6264,2.82294,5.11582,5.6443,0.183362441367316,0.975332134932529,"IronMtn_Derby_1_5_short_0","IronMtn_Derby_1_5_short_0_rgb_hh"
60,404,4,1.78353333333333,2.0364,2.848,1.418,1.418,1.418,0.0496985761961257,0.828309603268762,"IronMtn_Derby_1_5_short_0","IronMtn_Derby_1_5_short_0_rgnir_hh_1gcps_withgps"
68,388,4,1.76588235294118,2.1068,2.426,1.438,1.438,1.438,0.053760947679077,0.790602171751133,"IronMtn_Derby_1_5_short_0","IronMtn_Derby_1_5_short_0_rgnir_hh_5gcps_withgps"
76,388,4,1.75521052631579,2.1396,2.266,2.127,2.127,2.127,0.0589687096165155,0.77590407390152,"IronMtn_Derby_1_5_short_0","IronMtn_Derby_1_5_short_0_rgnir_hh_8gcps_nogps"
80,400,4,1.8446,2.5101,2.772,1.469,1.469,1.469,0.0719803698544221,0.899754623180276,"IronMtn_Derby_1_5_short_0","IronMtn_Derby_1_5_short_0_rgnir_hh_8gcps_withgps"
44,328,4,1.77545454545455,2.02,2.752,2.124,2.124,2.124,0.0363852918078284,0.826938450177919,"IronMtn_Derby_1_5_short_0","IronMtn_Derby_1_5_short_0_rgnir_hh_8gcps_withgps_nadironly"
60,404,4,1.6544,1.998,2.059,2.7,2.7,2.7,0.0400826610153526,0.668044350255876,"IronMtn_Derby_1_5_short_0","IronMtn_Derby_1_5_short_0_rgnir_hh_nogcps"
